item,freq
35,15
11,14
20,9
41,9
21,9
83,8
84,8
87,7
134,7
77,7
50,7
102,6
22,6
37,6
39,6
31,6
142,6
34,5
131,5
133,5
28,5
33,5
294,5
155,5
229,5
23,5
76,5
157,5
17,5
49,5
170,5
24,5
71,5
145,5
3,4
92,4
6,4
100,4
65,4
70,4
68,4
108,4
344,4
165,4
105,4
197,4
46,4
138,4
150,4
139,4
89,4
58,4
94,4
59,4
210,4
103,4
98,4
78,4
29,4
48,4
293,3
36,3
117,3
86,3
151,3
160,3
30,3
205,3
204,3
40,3
135,3
32,3
109,3
162,3
101,3
276,3
149,3
82,3
144,3
57,3
219,3
143,3
51,3
15,3
123,3
63,3
203,3
107,3
67,3
110,3
2,3
159,3
27,3
430,3
16,3
1,3
438,3
81,3
19,3
114,3
196,3
583,2
174,2
106,2
112,2
300,2
88,2
247,2
184,2
13,2
274,2
299,2
271,2
10,2
316,2
811,2
595,2
242,2
308,2
195,2
358,2
348,2
95,2
80,2
130,2
192,2
199,2
52,2
439,2
244,2
416,2
75,2
179,2
238,2
60,2
69,2
303,2
136,2
312,2
360,2
329,2
97,2
239,2
12,2
465,2
38,2
202,2
309,2
72,2
124,2
44,2
126,2
163,2
298,2
417,2
534,2
85,2
164,2
413,2
223,2
315,2
26,2
43,2
214,2
491,2
161,2
336,2
362,2
91,2
56,2
185,2
409,2
156,2
659,2
122,2
486,1
1113,1
612,1
235,1
208,1
18,1
1299,1
971,1
474,1
206,1
278,1
1063,1
273,1
111,1
194,1
1107,1
529,1
193,1
285,1
477,1
137,1
2977,1
158,1
557,1
152,1
268,1
913,1
284,1
681,1
171,1
2450,1
217,1
168,1
407,1
471,1
1492,1
231,1
420,1
47,1
338,1
656,1
437,1
215,1
200,1
311,1
347,1
462,1
1227,1
281,1
3257,1
288,1
749,1
334,1
90,1
382,1
512,1
66,1
115,1
1367,1
324,1
325,1
707,1
321,1
724,1
243,1
625,1
211,1
266,1
221,1
218,1
172,1
14,1
141,1
619,1
25,1
228,1
301,1
447,1
173,1
431,1
237,1
683,1
259,1
373,1
118,1
408,1
359,1
346,1
866,1
73,1
279,1
549,1
793,1
54,1
140,1
64,1
1020,1
333,1
888,1
800,1
867,1
283,1
53,1
322,1
261,1
494,1
318,1
230,1
263,1
337,1
62,1
297,1
543,1
328,1
411,1
212,1
327,1
132,1
305,1
1229,1
302,1
116,1
870,1
1273,1
459,1
167,1
332,1
265,1
178,1
564,1
508,1
1092,1
453,1
673,1
1937,1
398,1
326,1
240,1
384,1
487,1
385,1
1088,1
188,1
74,1
350,1
252,1
690,1
182,1
682,1
596,1
1204,1
694,1
147,1
567,1
290,1
227,1
400,1
128,1
175,1
469,1
790,1
121,1
860,1
930,1
479,1
314,1
841,1
363,1
405,1
352,1
45,1
269,1
526,1
507,1
497,1
213,1
154,1
207,1
275,1
233,1
1741,1
758,1
395,1
397,1
349,1
517,1
55,1
676,1
270,1
189,1
296,1
1050,1
222,1
257,1
209,1
186,1
401,1
783,1
1066,1
339,1
291,1
452,1
323,1
8,1
277,1
742,1
561,1
577,1
343,1
310,1
1266,1
79,1
119,1
104,1
606,1
295,1
5,1
129,1
483,1
827,1
573,1
390,1
1159,1
216,1
